rgn_id,r0_label,r1_label,r2_label,rgn_label,rgn_label_2,year,score_wgi_scale,score,gap_fill
NA,NA,NA,NA,NA,Bhutan,2018,0.564670617,0.612934123,0
NA,NA,NA,NA,NA,Bolivia,2018,-0.546261717,0.390747657,0
NA,NA,NA,NA,NA,Bosnia and Herzegovina,2018,-0.377651067,0.424469787,0
NA,NA,NA,NA,NA,Botswana,2018,0.57653965,0.61530793,0
NA,NA,NA,NA,NA,Brunei Darussalam,2018,0.620056767,0.624011353,0
NA,NA,NA,NA,NA,Burkina Faso,2018,-0.434460533,0.413107893,0
NA,NA,NA,NA,NA,Burundi,2018,-1.433220833,0.213355833,0
NA,NA,NA,NA,NA,Cabo Verde,2018,0.506123317,0.601224663,0
NA,NA,NA,NA,NA,Central African Republic,2018,-1.5798095,0.1840381,0
NA,NA,NA,NA,NA,Chad,2018,-1.381715667,0.223656867,0
NA,NA,NA,NA,NA,Comoros,2018,-0.882416133,0.323516773,0
NA,NA,NA,NA,NA,"Congo, Dem. Rep.",2018,-1.657509333,0.168498133,0
NA,NA,NA,NA,NA,"Congo, Rep.",2018,-1.11053785,0.27789243,0
NA,NA,NA,NA,NA,Cote d'Ivoire,2018,-0.497884933,0.400423013,0
NA,NA,NA,NA,NA,Czech Republic,2018,0.951259367,0.690251873,0
NA,NA,NA,NA,NA,"Egypt, Arab Rep.",2018,-0.816694717,0.336661057,0
NA,NA,NA,NA,NA,Eswatini,2018,-0.562986883,0.387402623,0
NA,NA,NA,NA,NA,Ethiopia,2018,-0.83294785,0.33341043,0
NA,NA,NA,NA,NA,"Gambia, The",2018,-0.395964983,0.420807003,0
NA,NA,NA,NA,NA,Guam,2018,0.72919221,0.645838442,1
NA,NA,NA,NA,NA,Guinea-Bissau,2018,-1.13172935,0.27365413,0
NA,NA,NA,NA,NA,"Hong Kong SAR, China",2018,1.470067717,0.794013543,0
NA,NA,NA,NA,NA,Hungary,2018,0.4619788,0.59239576,0
NA,NA,NA,NA,NA,"Iran, Islamic Rep.",2018,-1.000625167,0.299874967,0
NA,NA,NA,NA,NA,Kazakhstan,2018,-0.32373875,0.43525225,0
NA,NA,NA,NA,NA,"Korea, Rep.",2018,0.909884,0.6819768,0
NA,NA,NA,NA,NA,Kosovo,2018,-0.38677195,0.42264561,0
NA,NA,NA,NA,NA,Kyrgyz Republic,2018,-0.62995335,0.37400933,0
NA,NA,NA,NA,NA,Lao PDR,2018,-0.769035017,0.346192997,0
NA,NA,NA,NA,NA,Lesotho,2018,-0.321885367,0.435622927,0
NA,NA,NA,NA,NA,Liechtenstein,2018,1.626961833,0.825392367,0
NA,NA,NA,NA,NA,Luxembourg,2018,1.729063,0.8458126,0
NA,NA,NA,NA,NA,"Macao SAR, China",2018,0.95860245,0.69172049,0
NA,NA,NA,NA,NA,Malawi,2018,-0.484384467,0.403123107,0
NA,NA,NA,NA,NA,Mali,2018,-0.901308367,0.319738327,0
NA,NA,NA,NA,NA,Martinique,2018,1.004000196,0.700800039,1
NA,NA,NA,NA,NA,"Micronesia, Fed. Sts.",2018,0.342016667,0.568403333,0
NA,NA,NA,NA,NA,Moldova,2018,-0.351920233,0.429615953,0
NA,NA,NA,NA,NA,Mongolia,2018,0.015644083,0.503128817,0
NA,NA,NA,NA,NA,Nepal,2018,-0.592799817,0.381440037,0
NA,NA,NA,NA,NA,Niger,2018,-0.735270067,0.352945987,0
NA,NA,NA,NA,NA,North Macedonia,2018,-0.03989155,0.49202169,0
NA,NA,NA,NA,NA,Paraguay,2018,-0.34925615,0.43014877,0
NA,NA,NA,NA,NA,Puerto Rico,2018,0.381670433,0.576334087,0
NA,NA,NA,NA,NA,Reunion,2018,0.925490033,0.685098007,1
NA,NA,NA,NA,NA,Russian Federation,2018,-0.637255417,0.372548917,0
NA,NA,NA,NA,NA,Rwanda,2018,-0.004438233,0.499112353,0
NA,NA,NA,NA,NA,San Marino,2018,0.966844547,0.693368909,1
